    20    20    20 : grid size
   .4932565000       3.213934000       .0000000000      0.1217253819E-01
   .9865130000       3.213934000       .0000000000      0.1141918366E-01
   1.479769500       3.213934000       .0000000000      0.1110533574E-01
   1.973026000       3.213934000       .0000000000      0.1339853010E-01
   2.466282500       3.213934000       .0000000000      0.2339215614E-01
   2.959539000       3.213934000       .0000000000      0.5500451348E-01
   3.452795500       3.213934000       .0000000000       .1293908746    
   3.946052000       3.213934000       .0000000000       .2564413897    
   4.439308500       3.213934000       .0000000000       .4700033947    
   4.932565000       3.213934000       .0000000000       .6652272439    
   5.425821500       3.213934000       .0000000000       .4700033947    
   5.919078000       3.213934000       .0000000000       .2564413897    
   6.412334500       3.213934000       .0000000000       .1293908746    
   6.905591000       3.213934000       .0000000000      0.5500451348E-01
   7.398847500       3.213934000       .0000000000      0.2339215614E-01
   7.892104000       3.213934000       .0000000000      0.1339853010E-01
   8.385360500       3.213934000       .0000000000      0.1110533574E-01
   8.878617000       3.213934000       .0000000000      0.1141918366E-01
   9.371873500       3.213934000       .0000000000      0.1217253819E-01
   .0000000000       4.017417500       .0000000000      0.1078387045E-01
   .4932565000       4.017417500       .0000000000      0.1056453725E-01
   .9865130000       4.017417500       .0000000000      0.1014209531E-01
   1.479769500       4.017417500       .0000000000      0.1043571607E-01
   1.973026000       4.017417500       .0000000000      0.1419008583E-01
   2.466282500       4.017417500       .0000000000      0.2889472638E-01
   2.959539000       4.017417500       .0000000000      0.7462926103E-01
   3.452795500       4.017417500       .0000000000       .1829286811    
   3.946052000       4.017417500       .0000000000       .4260523523    
   4.439308500       4.017417500       .0000000000       1.616601527    
   4.932565000       4.017417500       .0000000000       3.308539354    
   5.425821500       4.017417500       .0000000000       1.616601527    
   5.919078000       4.017417500       .0000000000       .4260523523    
   6.412334500       4.017417500       .0000000000       .1829286811    
   6.905591000       4.017417500       .0000000000      0.7462926103E-01
   7.398847500       4.017417500       .0000000000      0.2889472638E-01
   7.892104000       4.017417500       .0000000000      0.1419008583E-01
